"YEAR","Sample Size","Mean Wealth (incl. equity)","Median Wealth (incl. equity)","Mean Wealth (excl. equity)","Median Wealth (excl. equity)"
2015,"9,048","$225,898","$23,000","$173,789","$9,000"
2017,"9,607","$246,790","$27,850","$166,647","$9,500"
2019,"9,569","$255,710","$33,800","$180,773","$11,000"
2021,"9,207","$320,305","$54,000","$220,914","$15,000"
2023,"9,152","$390,614","$64,000","$255,759","$13,000"
